Unnamed: 0,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
10,AGD Wickremasinghe (SL),1992-1993,4,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
22,AGR Loudon (ENG),2006-2006,1,1.0,36.0,36.0,0.0,-,0.0,6.0,0.0,0.0,0.0,0.0
5,AH Gray (WI),1985-1991,25,24.0,1270.0,835.0,44.0,6/50,18.97,3.94,28.8,2.0,1.0,0.0
41,AH Jones (NZ),1987-1995,87,11.0,306.0,216.0,4.0,2/42,54.0,4.23,76.5,0.0,0.0,0.0
40,AH Omarshah (ZIM),1983-1996,28,25.0,1077.0,812.0,18.0,3/33,45.11,4.52,59.8,0.0,0.0,0.0
37,AI Kallicharran (WI),1973-1981,31,4.0,105.0,64.0,3.0,2/10,21.33,3.65,35.0,0.0,0.0,0.0
17,AIC Dodemaide (AUS),1988-1993,24,24.0,1327.0,753.0,36.0,5/21,20.91,3.4,36.8,1.0,1.0,0.0
48,AJ Bichel (AUS),1997-2004,67,66.0,3257.0,2463.0,78.0,7/20,31.57,4.53,41.7,1.0,2.0,0.0
4,AJ Burger (NAM),2003-2003,6,5.0,96.0,104.0,3.0,1/18,34.66,6.5,32.0,0.0,0.0,0.0
32,AJ Finch (AUS),2013-2019,119,19.0,266.0,239.0,4.0,1/2,59.75,5.39,66.5,0.0,0.0,0.0
11,AJ Hall (SA),1999-2007,88,78.0,3341.0,2515.0,95.0,5/18,26.47,4.51,35.1,3.0,1.0,0.0
10,AJ Hollioake (ENG),1996-1999,35,32.0,1208.0,1019.0,32.0,4/23,31.84,5.06,37.7,2.0,0.0,0.0
3,AJ Ireland (ZIM),2005-2007,26,26.0,1326.0,1115.0,38.0,3/41,29.34,5.04,34.8,0.0,0.0,0.0
15,AJ Lamb (ENG),1982-1992,122,1.0,6.0,3.0,0.0,-,0.0,3.0,0.0,0.0,0.0,0.0
23,AJ Mackay (ZIM),2001-2001,3,3.0,132.0,137.0,0.0,-,0.0,6.22,0.0,0.0,0.0,0.0
8,AJ McKay (NZ),2010-2012,19,19.0,926.0,800.0,27.0,4/53,29.62,5.18,34.2,2.0,0.0,0.0
24,AJ Penn (NZ),1997-2001,5,5.0,159.0,201.0,1.0,1/50,201.0,7.58,159.0,0.0,0.0,0.0
18,AJ Pycroft (ZIM),1983-1992,20,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
38,AJ Redmond (NZ),2009-2010,6,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
28,AJ Stewart (ENG),1989-2003,170,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
36,AJ Strauss (ENG),2003-2011,127,1.0,6.0,3.0,0.0,-,0.0,3.0,0.0,0.0,0.0,0.0
25,AJ Traicos (ZIM),1983-1993,27,26.0,1524.0,987.0,19.0,3/35,51.94,3.88,80.2,0.0,0.0,0.0
25,AJ Tudor (ENG),2002-2002,3,3.0,127.0,136.0,4.0,2/30,34.0,6.42,31.7,0.0,0.0,0.0
9,AJ Turner (AUS),2019-2019,3,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
41,AJ Tye (AUS),2018-2018,7,7.0,387.0,392.0,12.0,5/46,32.66,6.07,32.2,0.0,1.0,0.0
